,processo,codigo,descricao,materia_prima,quantidade
0,Acessórios,483254,CORPO PINO TRAS BAL   TANDEM  FA4/6,"112306 - ACO TREF. RED. SAE-1045 - 1.1/4""",7.0
1,Caçamba,012919,REFORCO EXTERNO          CACAMBA    CBHF,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",16.0
2,Caçamba,022263,COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN/FORR (M12) CBH,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",8.0
3,Caçamba,025401,SUPORTE DO CILINDRO - CHASSI DA CAÇAMBA CBH (M13) 8T,"120352 - CHAPA GQ   1/2 (12,7)     1010",2.0
4,Caçamba,025473,BUCHA SUPERIOR - CHASSI DA CAÇAMBA - CBH 8T (M13),134157 - TUBO MECANICO  50 X  32  ST-52,2.0
5,Caçamba,026416,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",16.0
6,Caçamba,028757,REFORÇO DE ARTICULAÇÃO- CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
7,Caçamba,029964,"APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL","120650 - CHAPA GQ   5/16(7,94)     1010",6.0
8,Caçamba,029965,"REFORÇO APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL","120650 - CHAPA GQ   5/16(7,94)     1010",6.0
9,Caçamba,030334,LONGARINA DA PLATAFORMA M17    CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",10.0
10,Caçamba,030336,APOIO ARTICULAÇÃO - PLATAFORMA M17 (4T) CBH/CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",12.0
11,Caçamba,030338,MANCAL - PLATAFORMA M17 (4T) CBH/CBHM,134212 - TUBO MECANICO  56 X  40  ST-52,16.0
12,Caçamba,030366,TRANSVERSINA INFERIOR MAIOR [CAÇAMBA - CBH M17],"120250 - CHAPA #11(3,04) A36/CIVIL300",18.0
13,Caçamba,030368,FECHAM DA TRANSVERSINA - CAÇAMBA SIMPLES GRAN/FORR (M17),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",52.0
14,Caçamba,030373,TRANSVERSINA INTERMEDIÁRIA CENTRAL [CAÇAMBA - CBH M17],"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
15,Caçamba,030380,REFORÇO INTERNO TRASEIRO - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH,"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
16,Caçamba,030384,CHAPEAM LAT - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH,"120306 - CHAPA FQ #12 (1,50 x 3,00m) 1010",12.0
17,Caçamba,030456,TRANSV. INTERM. CENTRAL,"120250 - CHAPA #11(3,04) A36/CIVIL300",2.0
18,Caçamba,030500,LONGARINA - CBH M17 2 EIXOS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
19,Caçamba,030501,REFORÇO LONGARINA,"120650 - CHAPA GQ   5/16(7,94)     1010",2.0
20,Caçamba,030506,TRANSVERSINA DIANT/TRAS - CHASSI DA PLATAFORMA CBH/CBHM 6T 2E,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
21,Caçamba,030512,"TRANSVERSINA INTERM. - CHASSI  DA CAÇAMBA - CBH 6,0 2E","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
22,Caçamba,030544,"CHAPEAMENTO LATERAL [CAÇAMBA - CBH6,0 M17]","120535 - CHAPA FQ #12 (1,50 x 3,80m) 1010",4.0
23,Caçamba,030547,FECHAMENTO DO SUPORTE,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
24,Caçamba,030591,FECHAM TRAS CENTRAL - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH ABERTURA LATERAL,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",8.0
25,Caçamba,030598,REFORÇO LATERAL EXTERNO CBH (M17) ABERTURA LAT.,"120352 - CHAPA GQ   1/2 (12,7)     1010",4.0
26,Caçamba,030645,REFORÇO TRANSV DIANTEIRA - PLATAFORMA CBHM M17,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",6.0
27,Caçamba,031203,REFORÇO INTERNO DIANTEIRO - CAÇAMBA M18,"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
28,Caçamba,031204,REFORÇO LATERAL DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
29,Caçamba,031206,CHAPEAMENTO FRONTAL - CAÇAMBA M18,"120548 - CHAPA FQ #12 (1,50 x 4,00m) 1010",8.0
30,Caçamba,031207,FECHAMENTO FUEIRO REFORÇO DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
31,Caçamba,031239,DOBRADIÇA HORIZONTAL CBH/CBHM (M18),"120054 - CHAPA GQ   5/8 (15,8)     1010",8.0
32,Caçamba,031508,"LONGARINA - CHASSI DA CAÇAMBA - CBH 6,0T 7M³","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
33,Caçamba,032317,COMPL FECHAMENTO FUEIRO REFORÇO DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
34,Caçamba,032439,FECHAMENTO LATERAL TRASEIRO [CAÇAMBA SIMPLES - CBH M21],"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
35,Caçamba,032440,COMPLEMENTO DO FECHAM. LAT. TRAS. [CAÇAMBA SIMPLES - CBH M21],"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
36,Caçamba,032904,OLHAL DE ELEVACÃO - TANQUE SIMPLES    FTC,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",48.0
37,Caçamba,034697,REFORÇO INFERIOR 2 [CAÇAMBA - CBH],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",6.0
38,Caçamba,034698,REFORÇO INFERIOR 1 [CAÇAMBA - CBH],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",23.0
39,Caçamba,425187,REFORÇO CENTRAL    CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",12.0
40,Caçamba,425734,TRANSV SUP CILINDRO    PLAT  CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,7.0
41,Caçamba,425760,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",16.0
42,Caçamba,425783,BUCHA GUIA    CBHM,134132 - TUBO MECANICO  32 X  20  ST-52,16.0
43,Caçamba,425795,APOIO BUCHA GUIA    CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",16.0
44,Caçamba,425801,GUIA DA PLATAFORMA    CBHM,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",14.0
45,Caçamba,425874,PINO DA TRAVA         CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",16.0
46,Caçamba,446841,REFORCO              CHASSI (M98)  F4/6,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",2.0
47,Caçamba,450820,REFORCO DIANT - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1.0
48,Caçamba,450856,REFORCO CENTRAL - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
49,Caçamba,450870,LONGARINA - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
50,Caçamba,480009,ANILHO MOLA POCIS       CBH/CBHM,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",16.0
51,Caçamba,490313,REFORÇO TRAVA T TRAS -  ACESS  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",16.0
52,Caçamba,494665,PINO FUEIRO       CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",16.0
53,Chassi,022469,ESBARRO LIMITADOR DE GIRO      CHASSI CBHM 2 EIXOS,"120650 - CHAPA GQ   5/16(7,94)     1010",4.0
54,Chassi,023243,ESBARRO   CHASSI CBHM 2 EIXOS,"120352 - CHAPA GQ   1/2 (12,7)     1010",4.0
55,Chassi,023516,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",52.0
56,Chassi,025454,TUBO PLACA - CHASSI        CBH-8,134789 - TUBO MECANICO  131 X 105 ST-52,2.0
57,Chassi,025484,TRANSV  INTERMEDIARIA (A PARTIR DE AGOSTO/2013)  CHASSI CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",9.0
58,Chassi,025743,SUPORTE FIX. DA PLATAF. - CHASSI F6 CS M14,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",16.0
59,Chassi,025745,APOIO SUPORTE DE MOLAS - CHASSI F6 CS M14,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",8.0
60,Chassi,026425,PLACA DE APOIO - CHASSI (M98)   F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
61,Chassi,028739,FECHAMENTO LATERAL- CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
62,Chassi,028743,"SUPORTE DO CILINDRO - CHASSI CBH 6,0 2E","120157 - CHAPA GQ   3/8 (9,53)     1010",4.0
63,Chassi,029669,LONGARINA - CHASSI CARRETA ER6,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
64,Chassi,029678,TRANVERSINA TRASEIRA - CHASSI ER6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
65,Chassi,029679,TRANVERSINA DIANTEIRA - CHASSI ER6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
66,Chassi,030316,REFORÇO DO SUPORTE DIANT M17 CHASSI CBHM/CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",24.0
67,Chassi,030317,LONGARINA M17 CHASSI CBHM/CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",28.0
68,Chassi,030318,TRANSVERSINA DIANTEIRA M17 CHASSI CBHM/CBH,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",14.0
69,Chassi,030348,REFORÇO DA LONGARINA M17 CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",30.0
70,Chassi,030424,"REFORÇO DA LONGARINA - CHASSI SIMPLES SS - CBH 6,0T 01 EIXO","120650 - CHAPA GQ   5/16(7,94)     1010",8.0
71,Chassi,030425,"LONGARINA - CHASSI SIMPLES SS - CBH 6,0T 01 EIXO","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
72,Chassi,030444,SUPORTE TRASEIRO - CHASSI CBH 6 2 EIXOS (M17),"120157 - CHAPA GQ   3/8 (9,53)     1010",4.0
73,Chassi,030469,FECHAMENTO MENOR DO SUPORTE - CHASSI CBH 6 2 EIXOS (M17),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
74,Chassi,030494,LONGARINA [CHASSI - CBH/CBHM-2E],"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
75,Chassi,030508,REFORÇO LONG CHASSI 2 EIXOS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
76,Chassi,030509,"TRANSV INTERMED TRASEIRA - CHASSI CBH 6,0 2E","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
77,Chassi,030537,MÃO FRANCESA DIANTEIRA,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
78,Chassi,030538,FECHAMENTO TRAS LONGARINA,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",4.0
79,Chassi,030539,TRANSVERSINA CENTRAL,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
80,Chassi,030540,"TRANSV DIANT - CHASSI CBH 6,0 2E","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
81,Chassi,030574,"PLACA DE APOIO M17 - CHASSI CBH 6,0 2E","120650 - CHAPA GQ   5/16(7,94)     1010",2.0
82,Chassi,030589,PROTEÇÃO DO MACACO- CHASSI  CBH/CBHM M17,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",24.0
83,Chassi,030721,COMPLEMENTO DA LONGARINA - CHASSI - CBH/CBHM M17,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",40.0
84,Chassi,030727,SUPORTE TRASEIRO INTERNO - CHASSI CBH 6 2 EIXOS (M17),"120157 - CHAPA GQ   3/8 (9,53)     1010",4.0
85,Chassi,030750,TRANSV DIANT - CHASSI (6000) CBHM M17,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
86,Chassi,030918,REFORÇO TRAS LONGARINA - F6 COM MOLA M17,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
87,Chassi,031045,SAPATA MAIOR CHASSI  CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",48.0
88,Chassi,031485,LONGARINA - CHASSI SIMPLES SS - CBHM 6000 CAFEEIRA,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",10.0
89,Chassi,031509,"LONGARINA - CHASSI SIMPLES SS - CBH 6,0 7M³ 01 EIXO","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
90,Chassi,031510,"TRANSVERSINA DIANTEIRA M19 - CHASSI CBH 6,0T 7M³","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",1.0
91,Chassi,031512,REFORÇO DO SUPORTE DIANT M17 CHASSI CBHM 6000 CAFEEIRA,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",10.0
92,Chassi,031514,REFORÇO DA LONGARINA M19 - CBHM 6000 CAFEEIRA,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",10.0
93,Chassi,031515,TRANSVERSINA DIANTEIRA INTERM. M19 - CHASSI CBHM 6000 CAFEEIRA,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",5.0
94,Chassi,031557,TRANSV DIANT - CHASSI (6000) CBHM M19 CAFEEIRA,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",5.0
95,Chassi,406650,SUPORTE DO TUBO  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",9.0
96,Chassi,409686,TRANSV  INTERMEDIARIA   CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",15.0
97,Chassi,409728,TRANSV TRASEIRA    CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,15.0
98,Chassi,409741,SAPATA CHASSI              CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",4.0
99,Chassi,409753,SUPORTE TRASEIRO   CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",96.0
100,Chassi,411218,APOIO MOLA - CHASSI            CAR,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",4.0
101,Chassi,412302,"ARRUELA LISA 1/2""",120545 - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300,44.0
102,Chassi,418134,TRANSV SUP CS-CHASSI (M98) F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
103,Chassi,425760,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",60.0
104,Chassi,429478,TRANSV TRAS-CHASSI (6000) CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,9.0
105,Chassi,446178,TRANSV CENTR CHASSI        (M98)F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
106,Chassi,446841,REFORCO              CHASSI (M98)  F4/6,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",18.0
107,Chassi,453407,SUP FEIXE MOLA DIAN-CHASSI  U4P2,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
108,Chassi,459057,TRAVA LOCALIZAC-BRACO SUP ROT,124576 - ACO TREFILADO QDR   3/8   1045,2.0
109,Chassi,460783,TRAVA FEIXE DE MOLAS  - CHASSI CS   CBH,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
110,Chassi,465422,FECHAM TRAS LONG   CHASSI  CBHM,"120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",48.0
111,Chassi,467704,ESBARRO LIMITADOR DE GIRO - 5ª RODA (M98)   F4/6,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
112,Chassi,469490,SUPORTE DA MANGUEIRA    6000  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",9.0
113,Chassi,479329,BUCHA    -   5ª RODA (M98)  F4/6,"134170 - TUBO SCHEDULLE 80 - 1.1/2""",2.0
114,Chassi,480630,REFORÇO  - 5ª RODA (M98)   F4/6,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
115,Chassi,492073,DIAFRAGMA FEIXE MOLA-5ROD U4,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
116,Cilindro,034546,FECHAMENTO GUIA DO CILINDRO [CBH/CBHM],110516 - ACO LAMINADO RED 4.1/2    1045,46.0
117,Cilindro,034753,FECHAMENTO GUIA [CILINDRO HIDRÁULICO - CBHM6000 CA],"110517 - AÇO REDONDO LAMINADO 5"" 1045",10.0
118,Cilindro,034755,FECHAMENTO [CAMISA DO CILINDRO - CBHM6000 CA],110747 - AÇO LAMINADO RED 5          1020,10.0
119,Cilindro,034756,EIXO [PISTÃO - CBHM6000 CA],222438 - AÇO MT 60.00 CROMADO SAE 1045 NORMAL,10.0
120,Cilindro,034757,CABEÇA DO PISTÃO [CILINDRO HIDRÁULICO - CBHM6000 CA],110516 - ACO LAMINADO RED 4.1/2    1045,10.0
121,Cilindro,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",112.0
122,Cilindro,034881,CABEÇA DO PISTÃO [CBHM5000/6000],110139 - ACO LAMINADO RED 4          1045,46.0
123,Cilindro,034945,TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM],"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",56.0
124,Cilindro,034946,BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM],110012 - ACO LAMINADO RED 2.1/2    1045,40.0
125,Cilindro,468897,FECHAM CILINDRO           CBHM,110735 - ACO LAMINADO RED 4.1/2    1020,46.0
126,Cilindro,496923,TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM],"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",56.0
127,Cilindro,496935,ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM],"120376 - CHAPA GQ 1"" (25,4) 1010/1020",56.0
128,Dianteira ,018338,ENGATE S/TRAVA -  GRADES  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",216.0
129,Dianteira ,025561,"COLUNA - FECHAMENTO DIANT (FR) - S4,0/3,2M","120273 - CHAPA FQ  3,75mm. SAE-1006",2.0
